day of year,jimbaran_clim,jimbaran_p90,nusadua_clim,nusadua_p90,sanur_clim,sanur_p90
88,29.3542477720768,30.1681929803664,29.3447453474753,30.1763219033518,29.3209831691399,30.1707091054609
89,29.3730851589207,30.1892897452078,29.3644170909965,30.1998702756820,29.3406918049084,30.1967736398020
90,29.3915318537882,30.2098058885144,29.3837776061388,30.2245799279982,29.3603030044098,30.2229026548324
91,29.4100920668434,30.2288381515011,29.4032450172468,30.2495476876536,29.3802424602168,30.2486445642287
92,29.4288603961552,30.2475478264593,29.4228467577713,30.2729670862998,29.4004013845321,30.2755477905273
93,29.4476325087691,30.2663220190233,29.4423028166275,30.2961929321289,29.4203966532465,30.3015477703464
94,29.4658890609518,30.2868381254135,29.4611591214252,30.3176123219152,29.4398668998463,30.3263864947904
95,29.4835193714506,30.3068381524855,29.4794743232702,30.3369671483194,29.4590249717004,30.3469026011805
96,29.5008110192176,30.3254187922324,29.4975832996074,30.3543220150855,29.4782237216299,30.3653542057160
97,29.5186182284984,30.3446446080362,29.5162854072398,30.3725155491983,29.4981262839266,30.3831606711111
98,29.5367792342607,30.3640639397406,29.5351048178055,30.3903864952826,29.5180676317454,30.4020638988864
99,29.5547359070685,30.3841930020240,29.5535382667854,30.4099993921095,29.5375690978045,30.4208380914504
100,29.5728921820792,30.4047091084142,29.5721013149716,30.4306445337111,29.5572427322551,30.4441929109635
101,29.5914561762714,30.4279348927159,29.5910323511719,30.4538058004072,29.5773051664897,30.4687090227681
102,29.6099463832625,30.4508380889893,29.6098489231784,30.4765800229965,29.5971131308980,30.4919348070698
103,29.6279380568469,30.4738703204739,29.6280931751185,30.5000639146374,29.6163383689940,30.5152896265830
104,29.6455040376782,30.4988380432129,29.6459041662580,30.5240639102074,29.6351748080277,30.5396767277871
105,29.6628543342054,30.5238058028683,29.6633736568282,30.5491607050742,29.6535997445779,30.5641928642027
106,29.6798593465004,30.5499993724208,29.6804770521179,30.5750316865983,29.6715819600875,30.5891605992471
107,29.6961747361565,30.5763864578739,29.6969078525150,30.6012252192343,29.6887619802352,30.6144508854035
108,29.7113492688013,30.6031606489612,29.7121987419067,30.6261929788897,29.7046649226650,30.6384508809736
109,29.7253602410139,30.6289670759632,29.7265360776912,30.6510317033337,29.7196445847604,30.6616766652753
110,29.7378093933114,30.6532896595616,29.7396284988774,30.6750962165094,29.7335136607719,30.6837411695911
111,29.7484621210904,30.6736122500512,29.7510909898856,30.6943865253079,29.7457868619173,30.7017411754977
112,29.7572890990685,30.6914831961355,29.7609358471690,30.7081929852886,29.7564954044081,30.7130315103838
